,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,result_x,result_y
0,-77,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,-53,0,20.667435353223492,-103.46434962004423
1,-79,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,-49,0,20.667435353223492,-103.46434962004423
2,-77,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,-48,0,20.667435353223492,-103.46434962004423
3,-72,0,0,0,0,-86,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-78,-49,0,20.667435353223492,-103.46434962004423
4,-67,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-55,0,-78,-54,0,20.667435353223492,-103.46434962004423
5,-61,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-52,0,-72,-60,0,20.667435353223492,-103.46434962004423
6,-65,0,0,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,-56,0,-74,-64,0,20.667435353223492,-103.46434962004423
7,-65,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,-48,0,-77,-64,0,20.667435353223492,-103.46434962004423
8,-57,0,0,0,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,-46,0,-75,-65,0,20.667435353223492,-103.46434962004423
9,-65,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,-56,0,-78,-66,0,20.667435353223492,-103.46434962004423
10,-64,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-54,0,-77,-58,0,20.667435353223492,-103.46434962004423
11,-68,0,0,0,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-46,0,-74,-58,0,20.667435353223492,-103.46434962004423
12,-70,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49,0,-76,-53,0,20.667435353223492,-103.46434962004423
13,-73,0,0,0,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,-78,-60,0,20.667435353223492,-103.46434962004423
14,-75,0,0,0,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-80,-51,0,20.667435353223492,-103.46434962004423
15,-72,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-80,-53,0,20.667435353223492,-103.46434962004423
16,-73,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,-47,0,20.667435353223492,-103.46434962004423
17,-69,0,0,-85,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,0,-75,-56,0,20.667435353223492,-103.46434962004423
18,-75,0,0,-85,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,-80,-52,0,20.667435353223492,-103.46434962004423
19,-72,0,0,-85,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-84,-50,0,20.667435353223492,-103.46434962004423
20,-83,0,0,0,0,0,0,0,0,0,0,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-84,-57,0,20.667435353223492,-103.46434962004423
21,-69,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-83,-53,0,20.667435353223492,-103.46434962004423
22,-81,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-83,-58,0,20.667435353223492,-103.46434962004423
23,-81,0,0,-85,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,-84,-74,-59,0,20.667435353223492,-103.46434962004423
24,-71,0,0,-85,0,0,0,0,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,-84,-77,-62,0,20.667435353223492,-103.46434962004423
25,-79,0,0,-85,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-55,-84,-81,-59,0,20.667435353223492,-103.46434962004423
26,-74,0,0,0,0,0,0,0,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,-80,-59,0,20.667435353223492,-103.46434962004423
27,-79,0,0,-81,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,-80,-66,0,20.667435353223492,-103.46434962004423
28,-73,0,0,-81,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,-84,0,-58,-80,-88,-64,0,20.667435353223492,-103.46434962004423
29,-73,0,0,-83,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,-84,0,-53,-80,-88,-62,0,20.667435353223492,-103.46434962004423
30,-71,0,0,-83,-89,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,-84,0,-51,-80,-88,-64,0,20.667435353223492,-103.46434962004423
31,-73,0,0,-83,-89,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,0,-71,0,20.667435353223492,-103.46434962004423
32,-72,0,0,-85,-89,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,-54,0,0,-66,0,20.667435353223492,-103.46434962004423
33,-72,0,0,-85,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,-51,0,-83,-62,0,20.667435353223492,-103.46434962004423
34,-76,0,0,-85,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,-89,0,0,0,-48,0,-83,-67,0,20.667435353223492,-103.46434962004423
35,-64,0,0,0,0,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,-91,0,0,0,0,0,0,-49,0,-82,-70,0,20.667435353223492,-103.46434962004423
36,-68,0,0,-82,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,-91,0,0,0,0,0,0,-46,0,-79,-64,0,20.667435353223492,-103.46434962004423
37,-69,0,0,-82,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,-85,-65,0,20.667435353223492,-103.46434962004423
38,-71,0,0,-77,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,0,-81,-63,0,20.667435353223492,-103.46434962004423
39,-63,0,0,-80,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,-79,-62,0,20.667435353223492,-103.46434962004423
40,-69,0,0,-80,0,0,0,0,0,0,0,-66,0,-86,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,-45,0,-78,-71,0,20.667435353223492,-103.46434962004423
41,-66,0,0,0,0,0,0,0,0,0,0,-55,0,-86,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,-89,0,0,0,0,0,0,-44,0,-78,-69,0,20.667435353223492,-103.46434962004423
